facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date
F001,Amravati,8,2,Low,Yes,450,12,2026-01-05
F002,Nagpur,6,4,Medium,Yes,720,25,2026-01-08
F003,Pune,9,1,Low,Yes,850,8,2026-01-10
F004,Mumbai,5,6,High,No,1200,65,2026-01-12
F005,Nashik,7,3,Medium,Yes,560,18,2026-01-15
F006,Aurangabad,8,2,Low,Yes,430,10,2026-01-18
F007,Kolhapur,4,7,High,No,980,55,2026-01-20
F008,Amravati,9,1,Low,Yes,510,6,2026-01-22
F009,Nagpur,6,5,Medium,Yes,680,30,2026-01-25
F010,Pune,10,1,Low,Yes,920,5,2026-01-28
F011,Mumbai,3,8,High,No,1500,90,2026-02-01
F012,Nashik,7,3,Medium,Yes,590,20,2026-02-03
F013,Aurangabad,8,2,Low,Yes,470,11,2026-02-05
F014,Kolhapur,5,6,High,No,880,48,2026-02-08
F015,Amravati,,2,Low,Yes,490,9,2026-02-10
F016,Nagpur,6,4,Medium,Yes,710,27,2026-02-12
F017,Pune,9,1,Low,Yes,870,7,2026-02-15
F018,Mumbai,2,9,High,No,2000,150,2026-02-18
F019,Nashik,7,3,Medium,Yes,610,19,2026-02-20
F020,Aurangabad,8,2,Low,Yes,460,10,2026-02-22
F021,Kolhapur,4,7,High,No,1020,60,2026-02-25
F022,Amravati,9,1,Low,Yes,530,7,2026-02-27
F023,Nagpur,6,5,Medium,Yes,690,29,2026-03-01
F024,Pune,9,1,Low,Yes,890,6,2026-03-03
F025,Mumbai,5,6,High,No,1300,70,2026-03-05
F026,Nashik,7,3,Medium,Yes,570,17,2026-03-08
F027,Aurangabad,8,2,Low,Yes,480,12,2026-03-10
F028,Kolhapur,4,7,High,No,950,58,2026-03-12
F029,Amravati,9,1,Low,Yes,520,8,2026-03-15
F030,Nagpur,6,4,Medium,Yes,700,26,2026-03-18
F031,Pune,9,1,Low,Yes,910,5,2026-03-20
F032,Mumbai,3,8,High,No,1450,85,2026-03-22
F033,Nashik,7,3,Medium,Yes,600,18,2026-03-25
F034,Aurangabad,8,2,Low,Yes,450,10,2026-03-27
F035,Kolhapur,5,6,High,No,900,52,2026-03-30
F036,Amravati,9,1,Low,Yes,500,6,2026-04-02
F037,Nagpur,6,4,Medium,Yes,730,28,2026-04-05
F038,Pune,9,1,Low,Yes,880,7,2026-04-08
F039,Mumbai,3,8,High,No,1600,95,2026-04-10
F040,Nashik,7,3,Medium,Yes,580,19,2026-04-12
F041,Aurangabad,8,2,Low,Yes,470,11,2026-04-15
F042,Kolhapur,4,7,High,No,990,62,2026-04-18
F043,Amravati,9,1,Low,Yes,540,7,2026-04-20
F044,Nagpur,6,5,Medium,Yes,680,31,2026-04-22
F045,Pune,9,1,Low,Yes,900,6,2026-04-25
F046,Mumbai,5,6,High,No,1250,68,2026-04-28
F047,Nashik,7,3,Medium,Yes,610,20,2026-05-01
F048,Aurangabad,8,2,Low,Yes,490,9,2026-05-03
F049,Kolhapur,4,7,High,No,1010,59,2026-05-05
F050,Amravati,9,1,Low,Yes,530,8,2026-05-08
F050,Amravati,9,1,Low,Yes,530,8,2026-05-08
F051,Nagpur,-5,4,Medium,Yes,700,25,2026-05-10
