cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning,hygiene_risk
9,9,0,2,300,3,0
8,8,0,5,450,5,0
7,7,1,10,600,8,0
4,3,2,45,1200,24,1
3,2,2,60,1500,30,1
9,8,0,3,350,4,0
5,4,1,30,900,18,1
8,7,0,8,500,6,0
2,2,2,80,1800,36,1
6,6,1,20,750,12,0
4,4,2,50,1300,26,1
7,8,0,6,400,5,0
3,3,2,70,1600,32,1
8,9,0,4,420,4,0
5,5,1,28,850,16,1
9,9,0,1,250,2,0
6,5,1,25,800,14,0
2,1,2,90,1900,40,1
7,6,1,15,650,10,0
4,3,2,55,1400,28,1
8,8,0,5,380,3,0
3,2,2,75,1700,34,1
6,7,1,18,700,11,0
5,4,2,35,1000,20,1
9,8,0,2,320,4,0
7,7,0,7,550,7,0
4,4,1,40,1100,22,1
2,3,2,85,1750,38,1
8,7,0,6,480,5,0
6,6,1,22,780,13,0
3,3,2,65,1550,31,1
9,9,0,3,290,2,0
5,5,1,32,950,19,1
7,6,1,14,620,9,0
4,2,2,58,1450,27,1
8,8,0,4,410,4,0
6,5,1,26,820,15,1
3,2,2,72,1650,33,1
7,7,0,9,580,8,0
9,8,0,2,340,3,0
